
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck
56,1965,1,1965-09-11,33-125,BOS,@,BUF,L 7-24,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,8,333,41.63,0
57,1965,2,1965-09-19,33-133,BOS,@,HOU,L 10-31,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,,1,13,13.00,0,0,0,5,224,44.80,0
58,1965,3,1965-09-24,33-138,BOS,,DEN,L 10-27,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,5,181,36.20,0
59,1965,4,1965-10-03,33-147,BOS,@,KAN,L 17-27,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,8,334,41.75,0
60,1965,5,1965-10-08,33-152,BOS,,OAK,L 10-24,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,5,200,40.00,0
61,1965,6,1965-10-17,33-161,BOS,,SDG,T 13-13,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,1,35,35.00,0
62,1965,7,1965-10-24,33-168,BOS,@,OAK,L 21-30,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,6,241,40.17,0
63,1965,8,1965-10-31,33-175,BOS,@,SDG,W 22-6,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,7,311,44.43,0
64,1965,9,1965-11-07,33-182,BOS,,BUF,L 7-23,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,6,185,30.83,1
65,1965,10,1965-11-14,33-189,BOS,,NYJ,L 20-30,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,3,98,32.67,0
66,1965,11,1965-11-21,33-196,BOS,,KAN,T 10-10,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,6,247,41.17,0
67,1965,12,1965-11-28,33-203,BOS,@,NYJ,W 27-23,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,8,344,43.00,0
68,1965,13,1965-12-12,33-217,BOS,@,DEN,W 28-20,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,6,301,50.17,0
69,1965,14,1965-12-18,33-223,BOS,,HOU,W 42-14,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,2,51,25.50,1
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck
70,1966,8,1966-11-06,34-181,BOS,,DEN,L 10-17,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,2,63,31.50,0
71,1966,10,1966-11-20,34-195,BOS,@,KAN,T 27-27,,0,0,,0,0,0,,,,1,-5,-5.00,0,,0,0,,0,0,0,4,125,31.25,1
72,1966,11,1966-11-27,34-202,BOS,@,MIA,W 20-14,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,5,192,38.40,0
73,1966,12,1966-12-04,34-209,BOS,,BUF,W 14-3,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,8,265,33.13,0
74,1966,14,1966-12-17,34-222,BOS,@,NYJ,L 28-38,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0,2,87,43.50,0
,,,74 Games,,,,,41-26-7,,87,206,42.23,1374,12,12,60.2,6.67,5.21,72,424,5.89,4,,7,69,9.86,0,4,24,377,14534,38.55,8
