
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
79,2001,3,2001-10-07,27-290,TAM,,GNB,W 14-10,15,77,5.13,1,2,1,3,3.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
80,2001,4,2001-10-14,27-297,TAM,@,TEN,L 28-31,5,4,0.80,0,2,1,-3,-3.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
81,2001,5,2001-10-21,27-304,TAM,,PIT,L 10-17,3,15,5.00,0,2,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
82,2001,6,2001-10-28,27-311,TAM,,MIN,W 41-14,28,129,4.61,3,2,1,15,15.00,0,0,0,,0,0,0,,,,0,0,,0,3,18
83,2001,7,2001-11-04,27-318,TAM,@,GNB,L 20-21,17,30,1.76,0,1,1,19,19.00,1,0,0,,0,0,0,,,,0,0,,0,1,6
84,2001,8,2001-11-11,27-325,TAM,@,DET,W 20-17,8,48,6.00,0,4,3,16,5.33,0,0,0,,0,0,0,,,,0,0,,0,0,0
85,2001,9,2001-11-18,27-332,TAM,,CHI,L 24-27,4,2,0.50,1,4,4,36,9.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
86,2001,10,2001-11-26,27-340,TAM,@,STL,W 24-17,11,34,3.09,2,5,5,31,6.20,0,0,0,,0,0,0,,,,0,0,,0,2,12
87,2001,11,2001-12-02,27-346,TAM,@,CIN,W 16-13,6,24,4.00,0,3,3,31,10.33,0,0,0,,0,0,0,,,,0,0,,0,0,0
88,2001,12,2001-12-09,27-353,TAM,,DET,W 15-12,12,66,5.50,1,6,4,34,8.50,0,0,0,,0,0,0,,,,0,0,,0,1,6
89,2001,13,2001-12-16,27-360,TAM,@,CHI,L 3-27,7,23,3.29,0,5,3,12,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
90,2001,14,2001-12-23,28-002,TAM,,NOR,W 48-21,24,101,4.21,1,1,1,7,7.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
91,2001,15,2001-12-29,28-008,TAM,,BAL,W 22-10,14,80,5.71,1,3,2,8,4.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
92,2001,16,2002-01-06,28-016,TAM,,PHI,L 13-17,3,11,3.67,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
93,2002,1,2002-09-08,28-261,TAM,,NOR,L 20-26,6,11,1.83,0,5,4,48,12.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
94,2002,2,2002-09-15,28-268,TAM,@,BAL,W 25-0,11,23,2.09,0,7,5,25,5.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
95,2002,3,2002-09-23,28-276,TAM,,STL,W 26-14,5,10,2.00,1,2,1,10,10.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
96,2002,4,2002-09-29,28-282,TAM,@,CIN,W 35-7,7,29,4.14,1,2,1,6,6.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
97,2002,5,2002-10-06,28-289,TAM,@,ATL,W 20-6,4,9,2.25,0,1,1,6,6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
98,2002,6,2002-10-13,28-296,TAM,,CLE,W 17-3,17,126,7.41,2,5,2,13,6.50,0,0,0,,0,0,0,,,,0,0,,0,2,12
99,2002,7,2002-10-20,28-303,TAM,@,PHI,L 10-20,5,14,2.80,0,6,5,8,1.60,0,0,0,,0,0,0,,,,0,0,,0,0,0
100,2002,8,2002-10-27,28-310,TAM,@,CAR,W 12-9,5,4,0.80,0,4,3,11,3.67,0,0,0,,0,0,0,,,,0,0,,0,0,0
101,2002,9,2002-11-03,28-317,TAM,,MIN,W 38-24,26,55,2.12,0,4,3,16,5.33,1,0,0,,0,0,0,,,,0,0,,0,1,6
102,2002,10,2002-11-17,28-331,TAM,,CAR,W 23-10,2,8,4.00,0,2,2,13,6.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
103,2002,11,2002-11-24,28-338,TAM,,GNB,W 21-7,9,30,3.33,0,1,1,8,8.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
104,2002,12,2002-12-01,28-345,TAM,@,NOR,L 20-23,8,17,2.13,0,2,2,47,23.50,1,0,0,,0,0,0,,,,0,0,,0,1,6
105,2002,13,2002-12-08,28-352,TAM,,ATL,W 34-10,13,95,7.31,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
106,2002,14,2002-12-15,28-359,TAM,@,DET,W 23-20,11,47,4.27,1,5,3,23,7.67,0,0,0,,0,0,0,,,,0,0,,0,1,6
107,2002,15,2002-12-23,29-002,TAM,,PIT,L 7-17,5,28,5.60,0,1,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
108,2002,16,2002-12-29,29-008,TAM,@,CHI,W 15-0,12,42,3.50,0,1,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
109,2003,1,2003-09-08,29-261,TAM,@,PHI,W 17-0,12,23,1.92,0,5,5,36,7.20,0,0,0,,0,0,0,,,,0,0,,0,0,0
110,2003,2,2003-09-14,29-267,TAM,,CAR,L 9-12,4,9,2.25,0,4,3,22,7.33,0,0,0,,0,0,0,,,,0,0,,0,0,0
111,2003,3,2003-09-21,29-274,TAM,@,ATL,W 31-10,8,44,5.50,2,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,12
112,2003,4,2003-10-06,29-289,TAM,,IND,L 35-38,3,1,0.33,0,2,2,25,12.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
113,2003,5,2003-10-12,29-295,TAM,@,WAS,W 35-13,0,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
114,2004,1,2004-09-12,30-266,TAM,@,WAS,L 10-16,4,5,1.25,0,4,3,17,5.67,0,0,0,,0,0,0,,,,0,0,,0,0,0
115,2004,2,2004-09-19,30-273,TAM,,SEA,L 6-10,2,6,3.00,0,3,1,6,6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
116,2004,3,2004-09-26,30-280,TAM,@,OAK,L 20-30,12,65,5.42,0,5,4,30,7.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
117,2004,4,2004-10-03,30-287,TAM,,DEN,L 13-16,3,7,2.33,0,3,3,9,3.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
118,2004,5,2004-10-10,30-294,TAM,@,NOR,W 20-17,4,8,2.00,0,4,2,7,3.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
119,2004,6,2004-10-18,30-302,TAM,@,STL,L 21-28,5,17,3.40,1,4,3,20,6.67,0,0,0,,0,0,0,,,,0,0,,0,1,6
120,2004,7,2004-10-24,30-308,TAM,,CHI,W 19-7,7,29,4.14,0,3,2,8,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
121,2004,10,2004-11-21,30-336,TAM,,SFO,W 35-3,7,21,3.00,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
122,2004,11,2004-11-28,30-343,TAM,@,CAR,L 14-21,6,15,2.50,0,2,2,19,9.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
123,2004,12,2004-12-05,30-350,TAM,,ATL,W 27-0,9,42,4.67,1,1,1,6,6.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
124,2004,13,2004-12-12,30-357,TAM,@,SDG,L 24-31,4,12,3.00,0,4,2,23,11.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
125,2004,14,2004-12-19,30-364,TAM,,NOR,L 17-21,2,2,1.00,0,2,1,5,5.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
126,2004,15,2004-12-26,31-005,TAM,,CAR,L 20-37,1,2,2.00,0,3,3,37,12.33,0,0,0,,0,0,0,,,,0,0,,0,0,0
127,2004,16,2005-01-02,31-012,TAM,@,ARI,L 7-12,1,-1,-1.00,0,3,2,15,7.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
128,2005,1,2005-09-11,31-264,TAM,@,MIN,W 24-13,1,0,0.00,0,3,1,7,7.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
129,2005,2,2005-09-18,31-271,TAM,,BUF,W 19-3,6,19,3.17,1,2,2,9,4.50,0,0,0,,0,0,0,,,,0,0,,0,1,6
130,2005,3,2005-09-25,31-278,TAM,@,GNB,W 17-16,0,0,,0,2,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
131,2005,4,2005-10-02,31-285,TAM,,DET,W 17-13,0,0,,0,4,2,7,3.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
132,2005,5,2005-10-09,31-292,TAM,@,NYJ,L 12-14,3,12,4.00,0,1,1,9,9.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
133,2005,6,2005-10-16,31-299,TAM,,MIA,W 27-13,0,0,,0,1,1,23,23.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
