
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
64,1996,16,1996-12-23,25-308,DET,@,SFO,L 14-24,0,0,,0,0,0,0,,0,5,70,14.00,0,3,10,3.33,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
65,1997,1,1997-08-31,26-193,DET,,ATL,W 28-17,0,0,,0,1,1,43,43.00,0,4,103,25.75,0,3,8,2.67,0,0,0
66,1997,2,1997-09-07,26-200,DET,,TAM,L 17-24,0,0,,0,5,2,19,9.50,0,3,62,20.67,0,4,14,3.50,0,0,0
67,1997,3,1997-09-14,26-207,DET,@,CHI,W 32-7,0,0,,0,1,0,0,,0,2,43,21.50,0,2,-2,-1.00,0,0,0
68,1997,4,1997-09-21,26-214,DET,@,NOR,L 17-35,0,0,,0,0,0,0,,0,6,157,26.17,0,2,22,11.00,0,0,0
69,1997,5,1997-09-28,26-221,DET,,GNB,W 26-15,0,0,,0,1,1,11,11.00,0,5,99,19.80,0,2,20,10.00,0,0,0
70,1997,6,1997-10-05,26-228,DET,@,BUF,L 13-22,0,0,,0,0,0,0,,0,3,69,23.00,0,2,36,18.00,0,0,0
71,1997,7,1997-10-12,26-235,DET,@,TAM,W 27-9,0,0,,0,0,0,0,,0,0,0,,0,1,40,40.00,0,0,0
