
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
73,2006,15,2006-12-24,27-023,SEA,,SDG,L 17-20,1,3,3.00,0,1,1,0,0.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
74,2006,16,2006-12-31,27-030,SEA,@,TAM,W 23-7,10,39,3.90,0,1,1,8,8.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
75,2007,1,2007-09-09,27-282,SEA,,TAM,W 20-6,3,15,5.00,0,1,1,34,34.00,1,0,0,,0,0,0,,0,,1,6,0.0,0,0
76,2007,4,2007-09-30,27-303,SEA,@,SFO,W 23-3,5,13,2.60,0,1,1,4,4.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
77,2007,5,2007-10-07,27-310,SEA,@,PIT,L 0-21,0,0,,0,1,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
78,2007,6,2007-10-14,27-317,SEA,,NOR,L 17-28,1,4,4.00,0,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
79,2007,7,2007-10-21,27-324,SEA,,STL,W 33-6,10,42,4.20,0,2,2,18,9.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
80,2007,8,2007-11-04,27-338,SEA,@,CLE,L 30-33,9,55,6.11,0,2,2,43,21.50,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
81,2007,9,2007-11-12,27-346,SEA,,SFO,W 24-0,28,87,3.11,1,6,3,16,5.33,0,0,0,,0,0,0,,0,,1,6,0.0,0,0
82,2007,10,2007-11-18,27-352,SEA,,CHI,W 30-23,18,87,4.83,1,3,1,19,19.00,0,0,0,,0,0,0,,0,,1,6,0.0,0,0
83,2007,11,2007-11-25,27-359,SEA,@,STL,W 24-19,16,79,4.94,0,1,1,5,5.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
84,2007,12,2007-12-02,28-001,SEA,@,PHI,W 28-24,5,64,12.80,1,0,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0
85,2007,13,2007-12-09,28-008,SEA,,ARI,W 42-21,13,36,2.77,0,3,3,26,8.67,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
86,2007,14,2007-12-16,28-015,SEA,@,CAR,L 10-13,4,15,3.75,0,7,4,31,7.75,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
87,2007,15,2007-12-23,28-022,SEA,,BAL,W 27-6,15,40,2.67,0,1,1,-1,-1.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
88,2007,16,2007-12-30,28-029,SEA,@,ATL,L 41-44,13,91,7.00,1,4,4,18,4.50,0,0,0,,0,0,0,,0,,1,6,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
89,2008,1,2008-09-07,28-281,SEA,@,BUF,L 10-34,6,31,5.17,0,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
90,2008,5,2008-10-12,28-316,SEA,,GNB,L 17-27,4,16,4.00,0,2,2,13,6.50,0,0,0,,0,0,0,,0,,0,0,0.0,1,0
91,2008,6,2008-10-19,28-323,SEA,@,TAM,L 10-20,6,56,9.33,0,2,2,12,6.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
92,2008,7,2008-10-26,28-330,SEA,@,SFO,W 34-13,11,16,1.45,0,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
93,2008,8,2008-11-02,28-337,SEA,,PHI,L 7-26,8,43,5.38,0,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
94,2008,9,2008-11-09,28-344,SEA,@,MIA,L 19-21,1,11,11.00,0,1,1,6,6.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
95,2008,10,2008-11-16,28-351,SEA,,ARI,L 20-26,3,2,0.67,0,3,3,27,9.00,1,0,0,,0,0,0,,0,,1,6,0.0,0,0
