
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Pnt,Yds,Y/P,Blck
51,1964,9,1964-11-08,33-127,CHI,,BAL,L 24-40,0,0,,0,,1,-7,-7.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,,0
52,1964,11,1964-11-22,33-141,CHI,,SFO,W 23-21,8,40,5.00,0,,5,69,13.80,1,0,0,,0,0,0,,,,0,0,,0,1,6,0,0,,0
53,1964,13,1964-12-05,33-154,CHI,,GNB,L 3-17,3,16,5.33,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,,0
54,1964,14,1964-12-13,33-162,CHI,,MIN,L 14-41,1,4,4.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Pnt,Yds,Y/P,Blck
55,1965,1,1965-09-19,34-077,WAS,,CLE,L 7-17,2,5,2.50,0,,1,5,5.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Pnt,Yds,Y/P,Blck
56,1966,1,1966-09-02,35-060,MIA,,OAK,L 14-23,2,3,1.50,0,,3,21,7.00,1,0,0,,0,0,0,,,,0,0,,0,1,6,0,0,,0
57,1966,2,1966-09-09,35-067,MIA,,NYJ,L 14-19,7,18,2.57,0,,2,19,9.50,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,,0
58,1966,4,1966-10-02,35-090,MIA,@,SDG,L 10-44,22,80,3.64,0,,1,6,6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,,0
59,1966,5,1966-10-09,35-097,MIA,@,OAK,L 10-21,10,30,3.00,0,,1,-7,-7.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,,0
60,1966,6,1966-10-16,35-104,MIA,,DEN,W 24-7,2,4,2.00,0,,1,6,6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,,0
,,,60 Games,,,,,31-28-1,515,1949,3.78,15,,68,461,6.78,5,1,2,50.00,35,1,0,135.4,17.50,27.50,2,18,9.00,0,20,120,1,60,60.00,0
