
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
48,1999,10,1999-11-21,31-069,WAS,,NYG,W 23-13,*,17,29,58.62,158,0,1,59.3,5.45,3.90,2,9,4.50,0,0,0,0,,0,0,0
49,1999,11,1999-11-28,31-076,WAS,,PHI,W 20-17,*,25,36,69.44,218,1,1,82.9,6.06,5.36,3,1,0.33,0,0,0,0,,0,0,0
50,1999,12,1999-12-05,31-083,WAS,@,DET,L 17-33,*,26,43,60.47,249,1,2,65.0,5.79,4.16,1,-1,-1.00,0,0,0,0,,0,0,0
51,1999,13,1999-12-12,31-090,WAS,,ARI,W 28-3,*,17,31,54.84,191,2,2,68.1,6.16,4.55,2,-2,-1.00,0,0,0,0,,0,0,0
52,1999,14,1999-12-19,31-097,WAS,@,IND,L 21-24,*,16,30,53.33,237,1,0,90.6,7.90,8.57,2,0,0.00,0,0,0,0,,0,0,0
53,1999,15,1999-12-26,31-104,WAS,@,SFO,W 26-20,*,32,47,68.09,471,2,1,105.9,10.02,9.91,2,0,0.00,1,0,0,0,,0,1,6
54,1999,16,2000-01-02,31-111,WAS,,MIA,W 21-10,*,7,11,63.64,75,0,0,83.5,6.82,6.82,0,0,,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
55,2000,1,2000-09-03,31-356,WAS,,CAR,W 20-17,*,25,36,69.44,234,0,0,87.0,6.50,6.50,2,0,0.00,1,0,0,0,,0,1,6
56,2000,2,2000-09-10,31-363,WAS,@,DET,L 10-15,*,23,35,65.71,245,1,4,56.0,7.00,2.43,5,44,8.80,0,0,0,0,,0,0,0
57,2000,3,2000-09-18,32-005,WAS,,DAL,L 21-27,*,30,49,61.22,241,1,1,71.9,4.92,4.41,2,2,1.00,0,0,0,0,,0,0,0
58,2000,4,2000-09-24,32-011,WAS,@,NYG,W 16-6,*,14,20,70.00,289,2,0,145.8,14.45,16.45,3,-3,-1.00,0,0,0,0,,0,0,0
59,2000,5,2000-10-01,32-018,WAS,,TAM,W 20-17,*,20,32,62.50,207,1,0,91.5,6.47,7.09,2,2,1.00,0,0,0,0,,0,0,0
60,2000,6,2000-10-08,32-025,WAS,@,PHI,W 17-14,*,25,36,69.44,289,0,1,81.8,8.03,6.78,1,-1,-1.00,0,0,0,0,,0,0,0
61,2000,7,2000-10-15,32-032,WAS,,BAL,W 10-3,*,18,27,66.67,158,0,1,66.6,5.85,4.19,4,-4,-1.00,0,0,0,0,,0,0,0
62,2000,8,2000-10-22,32-039,WAS,@,JAX,W 35-16,*,16,24,66.67,269,3,1,126.6,11.21,11.83,0,0,,0,0,0,0,,0,0,0
63,2000,9,2000-10-30,32-047,WAS,,TEN,L 21-27,*,21,40,52.50,202,2,3,52.3,5.05,2.68,1,13,13.00,0,0,0,0,,0,0,0
64,2000,13,2000-12-03,32-081,WAS,,NYG,L 7-9,*,14,29,48.28,126,0,2,31.7,4.34,1.24,1,0,0.00,0,0,0,0,,0,0,0
65,2000,15,2000-12-16,32-094,WAS,@,PIT,L 3-24,,3,5,60.00,53,0,0,96.2,10.60,10.60,0,0,,0,0,0,0,,0,0,0
66,2000,16,2000-12-24,32-102,WAS,,ARI,W 20-3,*,19,32,59.38,192,1,2,60.9,6.00,3.81,1,5,5.00,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
67,2001,1,2001-09-09,32-361,TAM,@,DAL,W 10-6,*,25,34,73.53,195,0,1,75.0,5.74,4.41,4,2,0.50,1,0,0,0,,0,1,6
68,2001,2,2001-09-30,33-017,TAM,@,MIN,L 16-20,*,20,34,58.82,224,0,1,66.3,6.59,5.26,2,19,9.50,0,0,0,0,,0,0,0
69,2001,3,2001-10-07,33-024,TAM,,GNB,W 14-10,*,23,29,79.31,184,0,0,93.1,6.34,6.34,2,16,8.00,0,0,0,0,,0,0,0
70,2001,4,2001-10-14,33-031,TAM,@,TEN,L 28-31,*,24,50,48.00,287,3,1,77.7,5.74,6.04,2,4,2.00,0,0,0,0,,0,0,0
71,2001,5,2001-10-21,33-038,TAM,,PIT,L 10-17,*,24,40,60.00,283,1,1,79.5,7.08,6.45,3,18,6.00,0,0,0,0,,0,0,0
72,2001,6,2001-10-28,33-045,TAM,,MIN,W 41-14,*,18,25,72.00,214,2,0,124.4,8.56,10.16,1,3,3.00,0,0,0,0,,0,0,0
73,2001,7,2001-11-04,33-052,TAM,@,GNB,L 20-21,*,18,30,60.00,177,2,0,98.9,5.90,7.23,4,26,6.50,0,0,0,0,,0,0,0
74,2001,8,2001-11-11,33-059,TAM,@,DET,W 20-17,*,20,36,55.56,188,1,0,79.4,5.22,5.78,0,0,,0,0,0,0,,0,0,0
75,2001,9,2001-11-18,33-066,TAM,,CHI,L 24-27,*,40,56,71.43,399,0,2,76.4,7.13,5.52,3,5,1.67,1,0,0,0,,0,1,6
76,2001,10,2001-11-26,33-074,TAM,@,STL,W 24-17,*,21,34,61.76,185,0,1,64.0,5.44,4.12,6,-3,-0.50,0,0,0,0,,0,0,0
77,2001,11,2001-12-02,33-080,TAM,@,CIN,W 16-13,*,26,33,78.79,231,0,0,95.8,7.00,7.00,3,-1,-0.33,0,0,0,0,,0,0,0
78,2001,12,2001-12-09,33-087,TAM,,DET,W 15-12,*,31,54,57.41,305,1,2,64.2,5.65,4.35,4,12,3.00,0,0,0,0,,0,0,0
79,2001,13,2001-12-16,33-094,TAM,@,CHI,L 3-27,*,18,40,45.00,191,0,2,38.6,4.78,2.53,1,11,11.00,0,0,0,0,,0,0,0
80,2001,14,2001-12-23,33-101,TAM,,NOR,W 48-21,*,16,31,51.61,207,3,0,105.2,6.68,8.61,1,9,9.00,0,0,0,0,,0,0,0
81,2001,15,2001-12-29,33-107,TAM,,BAL,W 22-10,*,13,29,44.83,90,0,0,52.4,3.10,3.10,3,-1,-0.33,1,0,0,0,,0,1,6
82,2001,16,2002-01-06,33-115,TAM,,PHI,L 13-17,*,3,4,75.00,46,0,0,112.5,11.50,11.50,0,0,,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
83,2002,1,2002-09-08,33-360,TAM,,NOR,L 20-26,*,28,52,53.85,278,2,0,82.1,5.35,6.12,3,11,3.67,0,0,0,0,,0,0,0
84,2002,2,2002-09-15,34-002,TAM,@,BAL,W 25-0,*,24,31,77.42,211,0,0,95.0,6.81,6.81,1,-1,-1.00,0,0,0,0,,0,0,0
85,2002,3,2002-09-23,34-010,TAM,,STL,W 26-14,*,23,32,71.88,199,1,0,98.3,6.22,6.84,0,0,,0,0,0,0,,0,0,0
86,2002,4,2002-09-29,34-016,TAM,@,CIN,W 35-7,*,19,30,63.33,277,3,2,98.9,9.23,8.23,0,0,,0,0,0,0,,0,0,0
87,2002,5,2002-10-06,34-023,TAM,@,ATL,W 20-6,*,17,31,54.84,261,1,1,80.2,8.42,7.61,1,2,2.00,0,0,0,0,,0,0,0
88,2002,6,2002-10-13,34-030,TAM,,CLE,W 17-3,*,15,32,46.88,194,0,1,53.4,6.06,4.66,1,5,5.00,0,0,0,0,,0,0,0
89,2002,7,2002-10-20,34-037,TAM,@,PHI,L 10-20,*,19,31,61.29,124,0,1,56.4,4.00,2.55,0,0,,0,0,0,0,,0,0,0
90,2002,9,2002-11-03,34-051,TAM,,MIN,W 38-24,*,24,31,77.42,313,5,0,148.3,10.10,13.32,0,0,,0,0,0,0,,0,0,0
91,2002,10,2002-11-17,34-065,TAM,,CAR,W 23-10,*,22,40,55.00,253,2,0,90.9,6.33,7.33,4,6,1.50,0,0,0,0,,0,0,0
92,2002,11,2002-11-24,34-072,TAM,,GNB,W 21-7,*,15,25,60.00,134,2,0,101.1,5.36,6.96,1,5,5.00,0,0,0,0,,0,0,0
93,2002,12,2002-12-01,34-079,TAM,@,NOR,L 20-23,*,28,44,63.64,276,2,1,86.9,6.27,6.16,0,0,,0,0,0,0,,0,0,0
94,2002,13,2002-12-08,34-086,TAM,,ATL,W 34-10,*,23,31,74.19,276,4,0,140.6,8.90,11.48,0,0,,0,0,0,0,,0,0,0
95,2002,14,2002-12-15,34-093,TAM,@,DET,W 23-20,*,24,41,58.54,253,0,0,76.6,6.17,6.17,2,2,1.00,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
96,2003,1,2003-09-08,34-360,TAM,@,PHI,W 17-0,*,27,36,75.00,238,2,1,99.1,6.61,6.47,0,0,,0,0,0,0,,0,0,0
97,2003,2,2003-09-14,35-001,TAM,,CAR,L 9-12,*,34,61,55.74,339,1,1,70.3,5.56,5.15,1,-1,-1.00,0,0,0,0,,0,0,0
98,2003,3,2003-09-21,35-008,TAM,@,ATL,W 31-10,*,16,24,66.67,192,2,0,118.7,8.00,9.67,3,-4,-1.33,0,0,0,0,,0,0,0
99,2003,4,2003-10-06,35-023,TAM,,IND,L 35-38,*,26,39,66.67,318,3,1,106.6,8.15,8.54,3,8,2.67,0,0,0,0,,0,0,0
100,2003,5,2003-10-12,35-029,TAM,@,WAS,W 35-13,*,22,30,73.33,268,4,0,140.0,8.93,11.60,2,3,1.50,0,0,0,0,,0,0,0
101,2003,6,2003-10-19,35-036,TAM,@,SFO,L 7-24,*,21,34,61.76,241,1,3,56.1,7.09,3.71,1,1,1.00,0,0,0,0,,0,0,0
102,2003,7,2003-10-26,35-043,TAM,,DAL,W 16-0,*,13,26,50.00,151,1,0,80.8,5.81,6.58,0,0,,0,0,0,0,,0,0,0
103,2003,8,2003-11-02,35-050,TAM,,NOR,L 14-17,*,27,46,58.70,323,2,2,76.6,7.02,5.93,1,9,9.00,0,1,0,-2,,0,0,0
104,2003,9,2003-11-09,35-057,TAM,@,CAR,L 24-27,*,24,43,55.81,275,2,1,81.1,6.40,6.28,2,14,7.00,0,0,0,0,,0,0,0
105,2003,10,2003-11-16,35-064,TAM,,GNB,L 13-20,*,17,28,60.71,149,1,2,57.0,5.32,2.82,1,2,2.00,0,0,0,0,,0,0,0
106,2003,11,2003-11-24,35-072,TAM,,NYG,W 19-13,*,22,32,68.75,269,1,1,91.8,8.41,7.63,5,-4,-0.80,0,0,0,0,,0,0,0
107,2003,12,2003-11-30,35-078,TAM,@,JAX,L 10-17,*,21,38,55.26,156,0,1,54.3,4.11,2.92,2,6,3.00,0,0,0,0,,0,0,0
108,2003,13,2003-12-07,35-085,TAM,@,NOR,W 14-7,*,20,34,58.82,213,2,1,84.6,6.26,6.12,2,-3,-1.50,0,0,0,0,,0,0,0
109,2003,14,2003-12-14,35-092,TAM,,HOU,W 16-3,*,17,28,60.71,237,0,0,87.9,8.46,8.46,1,1,1.00,0,0,0,0,,0,0,0
110,2003,15,2003-12-20,35-098,TAM,,ATL,L 28-30,*,34,48,70.83,346,4,4,84.2,7.21,5.13,1,1,1.00,0,0,0,0,,0,0,0
