
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Tkl,Ast
105,2011,14,2011-12-18,31-356,OAK,,DET,L 27-28,*,32,40,80.00,367,1,0,113.2,9.18,9.68,0,0,,0,,0,0,0.0,0,0
106,2011,15,2011-12-24,31-362,OAK,@,KAN,W 16-13,*,16,26,61.54,237,1,2,72.1,9.12,6.42,0,0,,0,,0,0,0.0,0,0
107,2011,16,2012-01-01,32-005,OAK,,SDG,L 26-38,*,28,43,65.12,417,2,1,102.6,9.70,9.58,2,6,3.00,0,,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Tkl,Ast
108,2012,1,2012-09-10,32-258,OAK,,SDG,L 14-22,*,32,46,69.57,297,1,0,94.2,6.46,6.89,0,0,,0,,0,0,0.0,0,0
109,2012,2,2012-09-16,32-264,OAK,@,MIA,L 13-35,*,24,48,50.00,373,1,1,74.4,7.77,7.25,2,7,3.50,0,,0,0,0.0,0,0
110,2012,3,2012-09-23,32-271,OAK,,PIT,W 34-31,*,24,34,70.59,209,3,1,103.7,6.15,6.59,2,5,2.50,0,,0,0,0.0,0,0
111,2012,4,2012-09-30,32-278,OAK,@,DEN,L 6-37,*,19,34,55.88,202,0,0,73.4,5.94,5.94,0,0,,0,,0,0,0.0,0,0
112,2012,5,2012-10-14,32-292,OAK,@,ATL,L 20-23,*,23,33,69.70,353,1,1,102.2,10.70,9.94,0,0,,0,,0,0,0.0,0,0
113,2012,6,2012-10-21,32-299,OAK,,JAX,W 26-23,*,26,46,56.52,298,1,1,74.4,6.48,5.93,6,14,2.33,1,,1,6,0.0,0,0
114,2012,7,2012-10-28,32-306,OAK,@,KAN,W 26-16,*,14,28,50.00,209,2,1,83.8,7.46,7.29,1,-1,-1.00,0,,0,0,0.0,0,0
115,2012,8,2012-11-04,32-313,OAK,,TAM,L 32-42,*,39,61,63.93,414,4,3,85.0,6.79,5.89,1,3,3.00,0,,0,0,0.0,0,0
116,2012,9,2012-11-11,32-320,OAK,@,BAL,L 20-55,*,29,45,64.44,368,2,1,95.4,8.18,8.07,1,0,0.00,0,,0,0,0.0,0,0
117,2012,10,2012-11-18,32-327,OAK,,NOR,L 17-38,*,22,40,55.00,312,2,2,76.2,7.80,6.55,1,2,2.00,0,,0,0,0.0,0,0
118,2012,11,2012-11-25,32-334,OAK,@,CIN,L 10-34,*,19,34,55.88,146,1,1,64.1,4.29,3.56,0,0,,0,,0,0,0.0,0,0
119,2012,12,2012-12-02,32-341,OAK,,CLE,L 17-20,*,34,54,62.96,351,2,1,86.3,6.50,6.41,1,3,3.00,0,,0,0,0.0,0,0
120,2012,13,2012-12-06,32-345,OAK,,DEN,L 13-26,*,19,30,63.33,273,2,1,101.1,9.10,8.93,1,-1,-1.00,0,,0,0,0.0,0,0
121,2012,14,2012-12-16,32-355,OAK,,KAN,W 15-0,*,18,29,62.07,182,0,0,80.0,6.28,6.28,2,4,2.00,0,,0,0,0.0,0,0
122,2012,15,2012-12-23,32-362,OAK,@,CAR,L 6-17,*,3,3,100.00,31,0,0,109.7,10.33,10.33,0,0,,0,,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Tkl,Ast
123,2013,1,2013-09-08,33-255,ARI,@,STL,L 24-27,*,26,40,65.00,327,2,1,96.6,8.18,8.05,0,0,,0,,0,0,0.0,0,0
124,2013,2,2013-09-15,33-262,ARI,,DET,W 25-21,*,22,39,56.41,248,1,1,73.5,6.36,5.72,2,-2,-1.00,0,,0,0,0.0,0,0
125,2013,3,2013-09-22,33-269,ARI,@,NOR,L 7-31,*,18,35,51.43,187,0,2,43.4,5.34,2.77,0,0,,0,,0,0,0.0,0,0
126,2013,4,2013-09-29,33-276,ARI,@,TAM,W 13-10,*,21,38,55.26,248,1,2,62.2,6.53,4.68,4,6,1.50,0,,0,0,0.0,0,0
127,2013,5,2013-10-06,33-283,ARI,,CAR,W 22-6,*,19,28,67.86,175,1,3,57.0,6.25,2.14,3,-3,-1.00,0,,0,0,0.0,0,1
128,2013,6,2013-10-13,33-290,ARI,@,SFO,L 20-32,*,25,41,60.98,298,2,2,79.1,7.27,6.05,0,0,,0,,0,0,0.0,0,0
129,2013,7,2013-10-17,33-294,ARI,,SEA,L 22-34,*,30,45,66.67,258,1,2,70.4,5.73,4.18,2,5,2.50,0,,0,0,0.0,0,0
130,2013,8,2013-10-27,33-304,ARI,,ATL,W 27-13,*,13,18,72.22,172,2,1,116.0,9.56,9.28,1,9,9.00,0,,0,0,0.0,0,0
131,2013,9,2013-11-10,33-318,ARI,,HOU,W 27-24,*,20,32,62.50,241,2,1,93.4,7.53,7.38,2,-2,-1.00,0,,0,0,0.0,1,0
